;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 322G Educación compensatoria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;18.01;18.04;18.08;;;Total;
1;GASTOS DE PERSONAL;2.078,06;;;;;2.078,06;
12; Funcionarios;1.649,14;;;;;1.649,14;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;428,92;;;;;428,92;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;368,91;21,00;;;389,91;
22; Material, suministros y otros;;322,31;1,00;;;323,31;
23; Indemnizaciones por razón del servicio;;46,60;20,00;;;66,60;
4;TRANSFERENCIAS CORRIENTES;;207,61;1.468,49;;;1.676,10;
45; A Comunidades Autónomas;;;848,73;;;848,73;
48; A familias e instituciones sin fines de lucro;;207,61;619,76;;;827,37;
;TOTAL;2.078,06;576,52;1.489,49;;;4.144,07;
;;



