Económica;Explicación;18.01;18.02;18.03;18.04;18.05;18.08;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;52.126,28;5.026,18;1.555,59;2.600,85;443,39;2.687,07;64.439,36;64.439.360,00
10;Altos cargos;208,56;61,04;141,34;61,04;71,16;61,04;604,18;604.180,00
11;Personal eventual;510,99;—;253,05;—;—;—;764,04;764.040,00
12;Funcionarios;34.431,84;4.163,05;1.117,89;2.394,40;372,23;2.547,29;45.026,70;45.026.700,00
13;Laborales;7.166,08;530,9;—;—;—;33,08;7.730,06;7.730.060,00
15;Incentivos al rendimiento;4.762,38;—;—;—;—;—;4.762,38;4.762.380,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.046,43;271,19;43,31;145,41;—;45,66;5.552,00;5.552.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.183,21;854,08;528;623,52;511,82;3.003,35;14.703,98;14.703.980,00
20;Arrendamientos y cánones;104,00;—;—;—;—;—;104,00;104.000,00
21;Reparaciones, mantenimiento y conservación;1.519,86;—;—;—;—;144,02;1.663,88;1.663.880,00
22;Material, suministros y otros;6.646,60;733,1;287,74;462,87;271,56;2.333,95;10.735,82;10.735.820,00
23;Indemnizaciones por razón del servicio;912,75;20,98;240,26;160,65;240,26;525,38;2.100,28;2.100.280,00
24;Gastos de publicaciones;—;100;—;—;—;—;100;100.000,00
3;GASTOS FINANCIEROS;285,26;—;—;—;—;—;285,26;285.260,00
35;Intereses de demora y otros gastos financieros;285,26;—;—;—;—;—;285,26;285.260,00
4;TRANSFERENCIAS CORRIENTES;—;138;339;—;—;—;477;477.000,00
44;A entidades del Sector Público Estatal;—;—;175;—;—;—;175;175.000,00
48;A familias e instituciones sin fines de lucro;—;138;161;—;—;—;299;299.000,00
49;Al exterior;—;—;3;—;—;—;3,00;3.000,00
6;INVERSIONES REALES;4.583,05;101;—;—;—;—;4.684,05;4.684.050,00
62;Inversión nueva asociada al funcionamiento operativo;850,00;65;—;—;—;—;915,00;915.000,00
63;Inversión de reposición asociada al funcionamiento operativo;2.823,97;—;—;—;—;—;2.823,97;2.823.970,00
64;Gastos de inversiones de carácter inmaterial;909,08;36;—;—;—;—;945,08;945.080,00
8;ACTIVOS FINANCIEROS;86,06;—;—;—;—;—;86,06;86.060,00
83;Concesión de préstamos fuera del Sector Público;86,06;—;—;—;—;—;86,06;86.060,00
—;TOTAL PROGRAMA 321M – Dirección y Servicios Generales;66.263,86;6.119,26;2.422,59;3.224,37;955,21;5.690,42;84.675,71;84.675.710,00
