Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.01;41;A Organismos Autónomos;142.208,19;142.208.190,00
18.01;410;Al Consejo Superior de Deportes;97.551,69;97.551.690,00
18.01;412;Al CSD por obligaciones derivadas de la Ley 13/2011 y RD 419/1991;42.952,50;42.952.500,00
18.01;418;A la Gerencia de Infraestructuras y Equipamientos de Cultura – Servicios Centrales de Educación;1.704,00;1.704.000,00
18.01;43;A otras entidades del Sector Público Administrativo Estatal;4.299,25;4.299.250,00
18.01;431;A la Agencia Estatal Comisión Española para la Lucha Antidopaje en el Deporte;4.299,25;4.299.250,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;146.507,44;146.507.440,00
18.01;71;A Organismos Autónomos;37.034,19;37.034.190,00
18.01;710;Al Consejo Superior de Deportes;34.986,69;34.986.690,00
18.01;712;Al CSD por Ley 13/2011 y RD 419/1991 – Transferencias de capital;2.047,50;2.047.500,00
18.01;73;A otras entidades del Sector Público Administrativo Estatal;106,14;106.140,00
18.01;731;A la Agencia Estatal Comisión Española para la Lucha Antidopaje en el Deporte;106,14;106.140,00
—;—;TOTAL TRANSFERENCIAS DE CAPITAL – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;37.140,33;37.140.330,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;183.647,77;183.647.770,00
18.03;41;A Organismos Autónomos – Gerencia de Infraestructuras y Equipamientos de Cultura;1.023,00;1.023.000,00
18.03;71;A Organismos Autónomos – Inversiones en educación;11.119,98;11.119.980,00
—;—;TOTAL SECRETARÍA DE ESTADO DE EDUCACIÓN;12.142,98;12.142.980,00
18.08;41;A Organismos Autónomos – Universidad Internacional Menéndez Pelayo;8.223,58;8.223.580,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;8.223,58;8.223.580,00
18.50;41910;Al CSD – Gastos de funcionamiento – Mecanismo de Recuperación y Resiliencia;58.324,63;58.324.630,00
18.50;43930;A la Agencia Antidopaje – Gastos de funcionamiento – MRR;1.916,04;1.916.040,00
18.50;71910;Al CSD – Inversiones – Mecanismo de Recuperación y Resiliencia;81.936,65;81.936.650,00
18.50;73930;A la Agencia Antidopaje – Inversiones – MRR;212,8;212.800,00
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;142.390,12;142.390.120,00
—;—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;346.404,45;346.404.450,00
