Económica;Explicación;18.01;18.08 ;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;178.677,71;—;178.677,71;178.677.710,00
12;Funcionarios;58.549,21;—;58.549,21;58.549.210,00
13;Laborales;90.496,82;—;90.496,82;90.496.820,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;29.631,68;—;29.631,68;29.631.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;531,78;531,78;531.780,00
22;Material, suministros y otros;—;531,78;531,78;531.780,00
4;TRANSFERENCIAS CORRIENTES;—;15.485,89;15.485,89;15.485.890,00
45;A Comunidades Autónomas;—;1.231,50;1.231,50;1.231.500,00
48;A familias e instituciones sin fines de lucro;—;14.254,39;14.254,39;14.254.390,00
—;TOTAL PROGRAMA 322A – Educación Infantil y Primaria;178.677,71;16.017,67;194.695,38;194.695.380,00
