;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 322A Educación Infantil y Primaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
18.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;58.549,21;
;13;Laborales;;90.496,82;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;29.631,68;
;16000; Seguridad Social;29.631,68;;
;;TOTAL GASTOS DE PERSONAL;;178.677,71;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;178.677,71;
 ; ;;;;
 ; ;;;;
18.08;;DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;531,78;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;531,78;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;1.231,50;
;450;Actuaciones en primer ciclo de Educación Infantil;;1.231,50;
;45001; Para la Ciudad de Ceuta, para la extensión del primer ciclo de Educación Infantil;615,75;;
;45002; Para la Ciudad de Melilla, para la extensión del primer ciclo de Educación Infantil;615,75;;
;48;A familias e instituciones sin fines de lucro;;14.254,39;
;481;Para hacer efectiva la gratuidad de la enseñanza en centros educativos;;13.891,99;
;489;Otras actuaciones;;362,40;
;;TOTAL TRANSFERENCIAS CORRIENTES;;15.485,89;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;;16.017,67;
 ; ;;;;
 ; ;;;;
;;TOTAL Educación Infantil y Primaria;;194.695,38;
;;



