;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 322B Educación Secundaria, Formación Profesional y Escuelas Oficiales de Idiomas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;18.01;18.04;18.05;18.08;;Total;
1;GASTOS DE PERSONAL;92.277,51;;1.415,97;;;93.693,48;
12; Funcionarios;79.047,01;;1.347,88;;;80.394,89;
13; Laborales;2.600,09;;;;;2.600,09;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;10.630,41;;68,09;;;10.698,50;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;12.554,61;2.852,71;;15.407,32;
22; Material, suministros y otros;;;12.051,99;2.852,71;;14.904,70;
23; Indemnizaciones por razón del servicio;;;502,62;;;502,62;
4;TRANSFERENCIAS CORRIENTES;0,15;;33.750,08;7.814,93;;41.565,16;
45; A Comunidades Autónomas;;;31.649,80;;;31.649,80;
48; A familias e instituciones sin fines de lucro;0,15;;2.030,28;7.814,93;;9.845,36;
49; Al exterior;;;70,00;;;70,00;
6;INVERSIONES REALES;;;991,84;;;991,84;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;991,84;;;991,84;
8;ACTIVOS FINANCIEROS;;210.868,68;221.222,02;;;432.090,70;
82; Concesión de préstamos al Sector Público;;210.868,68;221.222,02;;;432.090,70;
;TOTAL;92.277,66;210.868,68;269.934,52;10.667,64;;583.748,50;
;;



