Económica;Explicación;18.08 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;100.576,56;100.576,56;100.576.560,00
12;Funcionarios;88.453,25;88.453,25;88.453.250,00
13;Laborales;7.640,84;7.640,84;7.640.840,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.482,47;4.482,47;4.482.470,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.484,83;9.484,83;9.484.830,00
20;Arrendamientos y cánones;69,45;69,45;69.450,00
21;Reparaciones, mantenimiento y conservación;167,80;167,80;167.800,00
22;Material, suministros y otros;3.779,35;3.779,35;3.779.350,00
23;Indemnizaciones por razón del servicio;5.417,28;5.417,28;5.417.280,00
24;Gastos de publicaciones;50,95;50,95;50.950,00
3;GASTOS FINANCIEROS;42,28;42,28;42.280,00
35;Intereses de demora y otros gastos financieros;42,28;42,28;42.280,00
4;TRANSFERENCIAS CORRIENTES;28;28;28.000,00
49;Al exterior;28;28;28.000,00
6;INVERSIONES REALES;25;25;25.000,00
62;Inversión nueva asociada al funcionamiento operativo;5;5;5.000,00
64;Gastos de inversiones de carácter inmaterial;20;20;20.000,00
—;TOTAL PROGRAMA 322F – Educación en el exterior;110.156,67;110.156,67;110.156.670,00
