 Económico;Explicación;18.50;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;6.020,06;6.020,06;6.020.060,00
19;Gastos de personal – Mecanismo de Recuperación y Resiliencia;6.020,06;6.020,06;6.020.060,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.047,60;1.047,60;1.047.600,00
29;Gastos corrientes – Mecanismo de Recuperación y Resiliencia;1.047,60;1.047,60;1.047.600,00
4;TRANSFERENCIAS CORRIENTES;186.135,57;186.135,57;186.135.570,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones, etc.;202,86;202,86;202.860,00
45;A Comunidades Autónomas;160.042,16;160.042,16;160.042.160,00
46;A Entidades Locales;386,5;386,5;386.500,00
47;A empresas privadas;5.597,30;5.597,30;5.597.300,00
48;A familias e instituciones sin fines de lucro;19.906,75;19.906,75;19.906.750,00
—;TOTAL PROGRAMA 32TC;—;193.203,23;193.203.230,00
