;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 322L Inversiones en centros educativos y otras actividades educativas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;18.01;18.03;18.04;18.05;18.08;Total;
1;GASTOS DE PERSONAL;21.308,97;;1.693,61;586,71;;23.589,29;
12; Funcionarios;17.333,67;;1.604,59;562,43;;19.500,69;
13; Laborales;1.885,70;;;23,48;;1.909,18;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.089,60;;89,02;0,80;;2.179,42;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;7.396,11;2.792,11;609,17;10.797,39;
21; Reparaciones, mantenimiento y conservación;;;370,00;;31,57;401,57;
22; Material, suministros y otros;;;6.696,33;2.699,92;577,60;9.973,85;
23; Indemnizaciones por razón del servicio;;;329,78;92,19;;421,97;
4;TRANSFERENCIAS CORRIENTES;91,64;20,00;51.286,54;787,67;6.268,61;58.454,46;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;3.731,38;;;3.731,38;
45; A Comunidades Autónomas;;;41.600,00;;;41.600,00;
46; A Entidades Locales;;;;600,88;;600,88;
48; A familias e instituciones sin fines de lucro;91,64;20,00;4.466,53;186,79;6.264,61;11.029,57;
49; Al exterior;;;1.488,63;;4,00;1.492,63;
6;INVERSIONES REALES;;;2.582,30;200,00;83,00;2.865,30;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;402,92;200,00;83,00;685,92;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;2.179,38;;;2.179,38;
7;TRANSFERENCIAS DE CAPITAL;;;301.000,00;;;301.000,00;
75; A Comunidades Autónomas;;;301.000,00;;;301.000,00;
;TOTAL;21.400,61;20,00;363.958,56;4.366,49;6.960,78;396.706,44;
;;



