Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.01;12;Funcionarios;79.047,01;79.047.010,00
18.01;13;Laborales;2.600,09;2.600.090,00
18.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;10.630,41;10.630.410,00
18.01;16000;Seguridad Social;10.630,41;10.630.410,00
—;—;TOTAL GASTOS DE PERSONAL – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;92.277,51;92.277.510,00
18.01;48;A familias e instituciones sin fines de lucro;0,15;150
18.01;488;Pensiones a funcionarios de carácter civil;0,15;150
—;—;TOTAL TRANSFERENCIAS CORRIENTES – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;0,15;150
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;92.277,66;92.277.660,00
18.04;82;Concesión de préstamos al Sector Público;210.868,68;210.868.680,00
18.04;821;Préstamos a largo plazo;210.868,68;210.868.680,00
—;—;TOTAL ACTIVOS FINANCIEROS – DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;210.868,68;210.868.680,00
—;—;TOTAL PROGRAMA 322B – Educación Secundaria, FP y Escuelas Oficiales de Idiomas;303.146,34;303.146.340,00
18.05;12;Funcionarios;1.347,88;1.347.880,00
18.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;68,09;68.090,00
18.05;16000;Seguridad Social;68,09;68.090,00
—;—;TOTAL GASTOS DE PERSONAL – Secretaría General de Formación Profesional;1.415,97;1.415.970,00
18.05;22;Material, suministros y otros;12.051,99;12.051.990,00
18.05;23;Indemnizaciones por razón del servicio;502,62;502.620,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;12.554,61;12.554.610,00
18.05;45;A Comunidades Autónomas;31.649,80;31.649.800,00
18.05;453;Convenios para compensación educativa e inserción laboral;353,73;353.730,00
18.05;454;Ayudas para el impulso de la Formación Profesional;31.296,07;31.296.070,00
18.05;48;A familias e instituciones sin fines de lucro;2.030,28;2.030.280,00
18.05;483;Para diversas actuaciones;525;525.000,00
18.05;487;Becas de formación en cualificaciones profesionales;205,28;205.280,00
18.05;488;Acciones formativas en FP del Sistema Educativo Español;1.300,00;1.300.000,00
18.05;49;Al exterior;70;70.000,00
18.05;492;Cuotas a organismos internacionales;70;70.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;33.750,08;33.750.080,00
18.05;6;INVERSIONES REALES;991,84;991.840,00
18.05;82;Concesión de préstamos al Sector Público;221.222,02;221.222.020,00
18.05;821;Préstamos a largo plazo;221.222,02;221.222.020,00
—;—;TOTAL ACTIVOS FINANCIEROS;221.222,02;221.222.020,00
—;—;TOTAL SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;269.934,52;269.934.520,00
18.08;22;Material, suministros y otros;2.852,71;2.852.710,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS – Dirección General de Planificación y Gestión Educativa;2.852,71;2.852.710,00
18.08;48;A familias e instituciones sin fines de lucro;7.814,93;7.814.930,00
18.08;481;Para hacer efectiva la gratuidad de la enseñanza;7.696,53;7.696.530,00
18.08;489;Otras actuaciones;118,4;118.400,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – Dirección General de Planificación y Gestión Educativa;7.814,93;7.814.930,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;10.667,64;10.667.640,00
—;—;TOTAL PROGRAMA 322B – Educación Secundaria, FP y Escuelas Oficiales de Idiomas;583.748,50;583.748.500,00
