;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 33ZA C26.I01 Plan de Digitalización del Sector Deporte;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;18.106;18.303;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;41.363,09;1.916,04;43.279,13;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;41.363,09;1.916,04;43.279,13;
4;TRANSFERENCIAS CORRIENTES;2.450,00;;2.450,00;
45; A Comunidades Autónomas;1.000,00;;1.000,00;
46; A Entidades Locales;1.000,00;;1.000,00;
48; A familias e instituciones sin fines de lucro;450,00;;450,00;
6;INVERSIONES REALES;1.000,00;212,80;1.212,80;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;1.000,00;212,80;1.212,80;
7;TRANSFERENCIAS DE CAPITAL;10.450,00;;10.450,00;
75; A Comunidades Autónomas;1.000,00;;1.000,00;
76; A Entidades Locales;1.000,00;;1.000,00;
78; A familias e instituciones sin fines de lucro;8.450,00;;8.450,00;
;TOTAL;55.263,09;2.128,84;57.391,93;
;;



