Económica;Explicación;18.08;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;1.348,79;1.348,79;1.348.790,00
12;Funcionarios;1.232,23;1.232,23;1.232.230,00
13;Laborales;88,07;88,07;88.070,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;28,49;28,49;28.490,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,54;601,54;601.540,00
22;Material, suministros y otros;601,54;601,54;601.540,00
4;TRANSFERENCIAS CORRIENTES;9.292,92;9.292,92;9.292.920,00
48;A familias e instituciones sin fines de lucro;8.844,87;8.844,87;8.844.870,00
49;Al exterior;448,05;448,05;448.050,00
—;TOTAL PROGRAMA 144B;11.243,25;11.243,25;11.243.250,00
