Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.08;12;Funcionarios;88.453,25;88.453.250,00
18.08;13;Laborales;7.640,84;7.640.840,00
18.08;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.482,47;4.482.470,00
18.08;16000;Seguridad Social;2.731,31;2.731.310,00
—;—;TOTAL GASTOS DE PERSONAL;100.576,56;100.576.560,00
18.08;20;Arrendamientos y cánones;69,45;69.450,00
18.08;21;Reparaciones, mantenimiento y conservación;167,80;167.800,00
18.08;22;Material, suministros y otros;3.779,35;3.779.350,00
18.08;23;Indemnizaciones por razón del servicio;5.417,28;5.417.280,00
18.08;24;Gastos de publicaciones;50,95;50.950,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.484,83;9.484.830,00
18.08;35;Intereses de demora y otros gastos financieros;42,28;42.280,00
18.08;352;Intereses de demora;4,97;4.970,00
18.08;359;Otros gastos financieros;37,31;37.310,00
—;—;TOTAL GASTOS FINANCIEROS;42,28;42.280,00
18.08;49;Al exterior;28;28.000,00
18.08;490;Ayuda al Colegio Parque de España de Rosario (Argentina);28;28.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;28;28.000,00
18.08;6;INVERSIONES REALES;25;25.000,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;110.156,67;110.156.670,00
—;—;TOTAL PROGRAMA 322F – Educación en el exterior;110.156,67;110.156.670,00
