Económica;Explicación;18.01;18.04;18.05;18.08;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;92.277,51;—;1.415,97;—;93.693,48;93.693.480,00
12;Funcionarios;79.047,01;—;1.347,88;—;80.394,89;80.394.890,00
13;Laborales;2.600,09;—;—;—;2.600,09;2.600.090,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;10.630,41;—;68,09;—;10.698,50;10.698.500,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;—;12.554,61;2.852,71;15.407,32;15.407.320,00
22;Material, suministros y otros;—;—;12.051,99;2.852,71;14.904,70;14.904.700,00
23;Indemnizaciones por razón del servicio;—;—;502,62;—;502,62;502.620,00
4;TRANSFERENCIAS CORRIENTES;0,15;—;33.750,08;7.814,93;41.565,16;41.565.160,00
45;A Comunidades Autónomas;—;—;31.649,80;—;31.649,80;31.649.800,00
48;A familias e instituciones sin fines de lucro;0,15;—;2.030,28;7.814,93;9.845,36;9.845.360,00
49;Al exterior;—;—;70;—;70;70.000,00
6;INVERSIONES REALES;—;—;991,84;—;991,84;991.840,00
62;Inversión nueva asociada al funcionamiento operativo;—;—;991,84;—;991,84;991.840,00
8;ACTIVOS FINANCIEROS;—;210.868,68;221.222,02;—;432.090,70;432.090.700,00
82;Concesión de préstamos al Sector Público;—;210.868,68;221.222,02;—;432.090,70;432.090.700,00
—;TOTAL PROGRAMA 322B;92.277,66;210.868,68;269.934,52;10.667,64;583.748,50;583.748.500,00
