Económica;Explicación;18.01;18.04 ;18.08;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.078,06;—;—;2.078,06;2.078.060,00
12;Funcionarios;1.649,14;—;—;1.649,14;1.649.140,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;428,92;—;—;428,92;428.920,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;368,91;21;389,91;389.910,00
22;Material, suministros y otros;—;322,31;1;323,31;323.310,00
23;Indemnizaciones por razón del servicio;—;46,60;20;66,6;66.600,00
4;TRANSFERENCIAS CORRIENTES;—;207,61;1.468,49;1.676,10;1.676.100,00
45;A Comunidades Autónomas;—;—;848,73;848,73;848.730,00
48;A familias e instituciones sin fines de lucro;—;207,61;619,76;827,37;827.370,00
—;TOTAL PROGRAMA 322G – Educación compensatoria;2.078,06;576,52;1.489,49;4.144,07;4.144.070,00
