Económica;Explicación;13.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;997,2;997,2;997.200,00
13;Laborales;671,9;671,9;671.900,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;325,3;325,3;325.300,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.330,29;2.330,29;2.330.290,00
20;Arrendamientos y cánones;1,5;1,5;1.500,00
21;Reparaciones, mantenimiento y conservación;295,98;295,98;295.980,00
22;Material, suministros y otros;2.032,81;2.032,81;2.032.810,00
3;GASTOS FINANCIEROS;5;5;5.000,00
35;Intereses de demora y otros gastos financieros;5;5;5.000,00
4;TRANSFERENCIAS CORRIENTES;990;990;990.000,00
48;A familias e instituciones sin fines de lucro;990;990;990.000,00
6;INVERSIONES REALES;1.171,52;1.171,52;1.171.520,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;50;50;50.000,00
63;Inversión de reposición asociada al funcionamiento operativo;1.101,52;1.101,52;1.101.520,00
64;Gastos de inversiones de carácter inmaterial;20;20;20.000,00
8;ACTIVOS FINANCIEROS;7,5;7,5;7.500,00
83;Concesión de préstamos fuera del Sector Público;7,5;7,5;7.500,00
9;PASIVOS FINANCIEROS;10;10;10.000,00
94;Devolución de depósitos y fianzas;10;10;10.000,00
;TOTAL Administración de los Reales Patronatos;5.511,51;5.511,51;5.511.510,00
