Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.02;—;SECRETARÍA DE ESTADO DE JUSTICIA;—;—
—;1;GASTOS DE PERSONAL;1.323.862,38;1.323.862.380,00
—;10;Altos cargos;12.416,77;12.416.770,00
—;12;Funcionarios;1.179.592,09;1.179.592.090,00
—;13;Laborales;16.382,98;16.382.980,00
—;14;Otro personal;13.759,47;13.759.470,00
—;15;Incentivos al rendimiento;547,44;547.440,00
—;151;Gratificaciones;547,44;547.440,00
—;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;101.163,63;101.163.630,00
—;16000;Seguridad Social;98.258,55;98.258.550,00
—;16200;Formación y perfeccionamiento del personal;543,15;543.150,00
—;16204;Acción social;682,18;682.180,00
—;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;122.850,44;122.850.440,00
—;20;Arrendamientos y cánones;11.156,15;11.156.150,00
—;202;Arrendamientos de edificios y otras construcciones;10.463,15;10.463.150,00
—;21;Reparaciones, mantenimiento y conservación;15.544,46;15.544.460,00
—;22;Material, suministros y otros;93.130,96;93.130.960,00
—;22502;Locales;3.500,00;3.500.000,00
—;22601;Atenciones protocolarias y representativas;108,83;108.830,00
—;22618;Reclamaciones art. 116 Ley 36/2011;10.000,00;10.000.000,00
—;22711;Atención a víctimas del delito;1;1.000,00
—;22712;Oficina de Recuperación y Gestión de Activos (ORGA);200;200.000,00
—;23;Indemnizaciones por razón del servicio;3.018,87;3.018.870,00
—;3;GASTOS FINANCIEROS;625,77;625.770,00
—;35;Intereses de demora y otros gastos financieros;625,77;625.770,00
—;352;Intereses de demora;625,77;625.770,00
—;4;TRANSFERENCIAS CORRIENTES;56.338,53;56.338.530,00
—;45;A Comunidades Autónomas;1;1.000,00
—;454;A CCAA – fines Ley Enjuiciamiento Criminal;1;1.000,00
—;46;A Entidades Locales;1.995,21;1.995.210,00
—;462;Subvención Juzgados de Paz;1.994,21;1.994.210,00
—;463;A Entidades Locales – fines Ley Enjuiciamiento Criminal;1;1.000,00
—;48;A familias e instituciones sin fines de lucro;54.341,32;54.341.320,00
—;480;A ONGs – fines Ley Enjuiciamiento Criminal;1;1.000,00
—;483;Consejo General de la Abogacía – asistencia jurídica gratuita;46.418,99;46.418.990,00
—;484;Consejo General de Procuradores – asistencia jurídica gratuita;5.033,53;5.033.530,00
—;485;Consejo Abogacía – impagos turno de oficio;1.836,00;1.836.000,00
—;488;Asistencia psicológica a víctimas;1.051,80;1.051.800,00
—;49;Al exterior;1;1.000,00
—;495;Organismos internacionales – fines Ley Enjuiciamiento Criminal;1;1.000,00
—;6;INVERSIONES REALES;154.720,44;154.720.440,00
—;8;ACTIVOS FINANCIEROS;536;536.000,00
—;830;Préstamos a corto plazo;536;536.000,00
—;83010;Anticipos reintegrables a trabajadores con sentencia favorable;536;536.000,00
—;—;TOTAL SECRETARÍA DE ESTADO DE JUSTICIA;1.658.933,56;1.658.933.560,00
13.05;—;SECRETARÍA GENERAL – FISCALÍA GENERAL;—;—
—;1;GASTOS DE PERSONAL;10.956,78;10.956.780,00
—;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;396;396.000,00
—;6;INVERSIONES REALES;3.757,05;3.757.050,00
13;13.06;—;SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. MINISTERIO FISCAL;—
—;1;GASTOS DE PERSONAL;289.145,05;289.145.050,00
—;10;Altos cargos;3.015,96;3.015.960,00
—;12;Funcionarios;270.087,83;270.087.830,00
—;15;Incentivos al rendimiento;324,17;324.170,00
—;151;Gratificaciones;324,17;324.170,00
—;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;15.717,09;15.717.090,00
—;16000;Seguridad Social;15.682,80;15.682.800,00
—;16204;Acción social;34,29;34.290,00
—;—;TOTAL SECRETARÍA GENERAL – MINISTERIO FISCAL;289.145,05;289.145.050,00
—;—;TOTAL PROGRAMA 112A – Tribunales de Justicia y Ministerio Fiscal;1.963.188,44;1.963.188.440,00
