;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 112A Tribunales de Justicia y Ministerio Fiscal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.02;13.05;13.06;;;Total;
1;GASTOS DE PERSONAL;1.323.862,38;10.956,78;289.145,05;;;1.623.964,21;
10; Altos cargos;12.416,77;1.890,53;3.015,96;;;17.323,26;
12; Funcionarios;1.179.592,09;8.205,08;270.087,83;;;1.457.885,00;
13; Laborales;16.382,98;153,35;;;;16.536,33;
14; Otro personal;13.759,47;;;;;13.759,47;
15; Incentivos al rendimiento;547,44;;324,17;;;871,61;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;101.163,63;707,82;15.717,09;;;117.588,54;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;122.850,44;396,00;;;;123.246,44;
20; Arrendamientos y cánones;11.156,15;;;;;11.156,15;
21; Reparaciones, mantenimiento y conservación;15.544,46;33,84;;;;15.578,30;
22; Material, suministros y otros;93.130,96;109,16;;;;93.240,12;
23; Indemnizaciones por razón del servicio;3.018,87;201,00;;;;3.219,87;
24; Gastos de publicaciones;;52,00;;;;52,00;
3;GASTOS FINANCIEROS;625,77;;;;;625,77;
35; Intereses de demora y otros gastos financieros;625,77;;;;;625,77;
4;TRANSFERENCIAS CORRIENTES;56.338,53;;;;;56.338,53;
45; A Comunidades Autónomas;1,00;;;;;1,00;
46; A Entidades Locales;1.995,21;;;;;1.995,21;
48; A familias e instituciones sin fines de lucro;54.341,32;;;;;54.341,32;
49; Al exterior;1,00;;;;;1,00;
6;INVERSIONES REALES;154.720,44;3.757,05;;;;158.477,49;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;120.551,14;3.215,09;;;;123.766,23;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;17.168,74;;;;;17.168,74;
64; Gastos de inversiones de carácter inmaterial;17.000,56;541,96;;;;17.542,52;
8;ACTIVOS FINANCIEROS;536,00;;;;;536,00;
83; Concesión de préstamos fuera del Sector Público;536,00;;;;;536,00;
;TOTAL;1.658.933,56;15.109,83;289.145,05;;;1.963.188,44;
;;



