;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 111R Formación de la Carrera Fiscal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.101;;Total;
1;GASTOS DE PERSONAL;3.856,58;;3.856,58;
12; Funcionarios;3.201,79;;3.201,79;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;654,79;;654,79;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.942,81;;1.942,81;
22; Material, suministros y otros;827,16;;827,16;
23; Indemnizaciones por razón del servicio;1.069,62;;1.069,62;
24; Gastos de publicaciones;46,03;;46,03;
4;TRANSFERENCIAS CORRIENTES;4.312,79;;4.312,79;
48; A familias e instituciones sin fines de lucro;4.287,76;;4.287,76;
49; Al exterior;25,03;;25,03;
;TOTAL;10.112,18;;10.112,18;
;;



