Económica;Explicación;13.103;13.104;Total;Euros
1;GASTOS DE PERSONAL;2.618,31;4.771,20;7.389,51;7.389.510,00
10;Altos cargos;61,05;61,05;122,1;122.100,00
11;Personal eventual;;207,94;207,94;207.940,00
12;Funcionarios;1.359,04;1.975,16;3.334,20;3.334.200,00
13;Laborales;603,06;1.419,09;2.022,15;2.022.150,00
15;Incentivos al rendimiento;181,39;378,53;559,92;559.920,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;413,77;729,43;1.143,20;1.143.200,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.424,20;6.582,89;8.007,09;8.007.090,00
20;Arrendamientos y cánones;4;2;6;6.000,00
21;Reparaciones, mantenimiento y conservación;166;199,88;365,88;365.880,00
22;Material, suministros y otros;877,6;6.146,01;7.023,61;7.023.610,00
23;Indemnizaciones por razón del servicio;30,29;85;115,29;115.290,00
24;Gastos de publicaciones;340;150;490;490.000,00
25;Conciertos de asistencia sanitaria;6,31;;6,31;6.310,00
4;TRANSFERENCIAS CORRIENTES;166,1;258;424,1;424.100,00
48;A familias e instituciones sin fines de lucro;166,1;258;424,1;424.100,00
6;INVERSIONES REALES;300;1.035,00;1.335,00;1.335.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;150;100;250;250.000,00
63;Inversión de reposición asociada al funcionamiento operativo;150;685;835;835.000,00
64;Gastos de inversiones de carácter inmaterial;;250;250;250.000,00
8;ACTIVOS FINANCIEROS;10,03;12,02;22,05;22.050,00
83;Concesión de préstamos fuera del Sector Público;10,03;12,02;22,05;22.050,00
;TOTAL Investigación y estudios sociológicos y constitucionales;4.518,64;12.659,11;17.177,75;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
