;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 911Q Apoyo a la gestión administrativa de la Jefatura del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.08;;Total;
1;GASTOS DE PERSONAL;7.592,79;;7.592,79;
11; Personal eventual;587,65;;587,65;
12; Funcionarios;5.862,55;;5.862,55;
15; Incentivos al rendimiento;873,80;;873,80;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;268,79;;268,79;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;183,04;;183,04;
23; Indemnizaciones por razón del servicio;183,04;;183,04;
;TOTAL;7.775,83;;7.775,83;
;;



