Orgánica;Económica;Explicación;Total (miles €);Euros (€)
13.04;;ABOGACÍA GENERAL DEL ESTADO;;
;1;GASTOS DE PERSONAL;;
;10;Altos cargos;193,2;193.200,00
;12;Funcionarios;31.757,45;31.757.450,00
;13;Laborales;189,19;189.190,00
;14;Otro personal;157,18;157.180,00
;15;Incentivos al rendimiento;3.728,40;3.728.400,00
;150;Productividad;3.728,40;3.728.400,00
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.575,15;2.575.150,00
;16000;Seguridad Social;2.525,15;2.525.150,00
;16200;Formación y perfeccionamiento del personal;50;50.000,00
;;TOTAL GASTOS DE PERSONAL;38.600,57;38.600.570,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
;20;Arrendamientos y cánones;1.236,71;1.236.710,00
;202;Arrendamientos de edificios y otras construcciones;1.236,71;1.236.710,00
;21;Reparaciones, mantenimiento y conservación;246,82;246.820,00
;22;Material, suministros y otros;2.196,47;2.196.470,00
;22502;Locales;137;137.000,00
;23;Indemnizaciones por razón del servicio;268,25;268.250,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.948,25;3.948.250,00
;6;INVERSIONES REALES;2.088,41;2.088.410,00
;8;ACTIVOS FINANCIEROS;;
;83;Concesión de préstamos fuera del Sector Público;20,28;20.280,00
;830;Préstamos a corto plazo;4,8;4.800,00
;831;Préstamos a largo plazo;15,48;15.480,00
;;TOTAL ACTIVOS FINANCIEROS;20,28;20.280,00
;;TOTAL ABOGACÍA GENERAL DEL ESTADO;44.657,51;44.657.510,00
;;TOTAL Programa 921S Asesoramiento y defensa de los intereses del Estado;44.657,51;44.657.510,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
