Económica;Explicación;13.07;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;16.890,08;16.890,08;16.890.080,00
10;Altos cargos;385,41;385,41;385.410,00
11;Personal eventual;1.916,68;1.916,68;1.916.680,00
12;Funcionarios;7.665,97;7.665,97;7.665.970,00
13;Laborales;4.174,07;4.174,07;4.174.070,00
15;Incentivos al rendimiento;772,68;772,68;772.680,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.975,27;1.975,27;1.975.270,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;59.753,52;59.753,52;59.753.520,00
20;Arrendamientos y cánones;106,4;106,4;106.400,00
21;Reparaciones, mantenimiento y conservación;560,7;560,7;560.700,00
22;Material, suministros y otros;58.629,95;58.629,95;58.629.950,00
23;Indemnizaciones por razón del servicio;456,47;456,47;456.470,00
6;INVERSIONES REALES;1.720,00;1.720,00;1.720.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;195;195;195.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;325;325;325.000,00
64;Gastos de inversiones de carácter inmaterial;1.200,00;1.200,00;1.200.000,00
;TOTAL Programa 921Q Cobertura informativa;78.363,60;78.363,60;78.363.600,00
