Económica;Explicación;13.101;Total (miles Euros);Total (euros)
1;GASTOS DE PERSONAL;3.856,58;3.856,58;3.856.580,00
12;Funcionarios;3.201,79;3.201,79;3.201.790,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;654,79;654,79;654.790,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.942,81;1.942,81;1.942.810,00
22;Material, suministros y otros;827,16;827,16;827.160,00
23;Indemnizaciones por razón del servicio;1.069,62;1.069,62;1.069.620,00
24;Gastos de publicaciones;46,03;46,03;46.030,00
4;TRANSFERENCIAS CORRIENTES;4.312,79;4.312,79;4.312.790,00
48;A familias e instituciones sin fines de lucro;4.287,76;4.287,76;4.287.760,00
49;Al exterior;25,03;25,03;25.030,00
—;TOTAL PROGRAMA 111R;10.112,18;10.112,18;10.112.180,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
