Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.101;—;CENTRO DE ESTUDIOS JURÍDICOS;—;—
—;1;GASTOS DE PERSONAL;3.856,58;3.856.580,00
—;16000;Seguridad Social;654,79;654.790,00
—;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.942,81;1.942.810,00
—;4;TRANSFERENCIAS CORRIENTES;4.312,79;4.312.790,00
—;48;A familias e instituciones sin fines de lucro;4.287,76;4.287.760,00
—;481;Becas para oposiciones judicial y fiscal;4.287,76;4.287.760,00
—;49;Al exterior;25,03;25.030,00
—;491;Cuotas y aportaciones a organismos internacionales;15,03;15.030,00
—;493;Otras aportaciones a proyectos europeos;10;10.000,00
—;—;TOTAL CENTRO DE ESTUDIOS JURÍDICOS;10.112,18;10.112.180,00
—;—;TOTAL Formación de la Carrera Fiscal;10.112,18;10.112.180,00
