Económica;Explicación;13.102;Total (miles Euros);Total (euros)
1;GASTOS DE PERSONAL;6.272,16;6.272,16;6.272.160,00
12;Funcionarios;5.037,51;5.037,51;5.037.510,00
13;Laborales;109,99;109,99;109.990,00
14;Otro personal;94,21;94,21;94.210,00
15;Incentivos al rendimiento;283,99;283,99;283.990,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;746,46;746,46;746.460,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;812,79;812,79;812.790,00
20;Arrendamientos y cánones;13,9;13,9;13.900,00
21;Reparaciones, mantenimiento y conservación;221,64;221,64;221.640,00
22;Material, suministros y otros;557,25;557,25;557.250,00
23;Indemnizaciones por razón del servicio;20;20;20.000,00
3;GASTOS FINANCIEROS;0,57;0,57;570
35;Intereses de demora y otros gastos financieros;0,57;0,57;570
4;TRANSFERENCIAS CORRIENTES;18.971,40;18.971,40;18.971.400,00
48;A familias e instituciones sin fines de lucro;18.971,40;18.971,40;18.971.400,00
6;INVERSIONES REALES;614,67;614,67;614.670,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;467,95;467,95;467.950,00
63;Inversión de reposición asociada al funcionamiento operativo;146,72;146,72;146.720,00
8;ACTIVOS FINANCIEROS;10,82;10,82;10.820,00
83;Concesión de préstamos fuera del Sector Público;10,82;10,82;10.820,00
;TOTAL 222M Prestaciones económicas del Mutualismo Administrativo;26.682,41;26.682,41;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
