Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.02;41;A Organismos Autónomos;16.714,74;16.714.740,00
13.02;411;Al Centro de Estudios Jurídicos de la Administración de Justicia;16.714,74;16.714.740,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;16.714,74;16.714.740,00
13.02;71;A Organismos Autónomos;777,00;777.000,00
13.02;711;Al Centro de Estudios Jurídicos de la Administración de Justicia;777,00;777.000,00
—;—;TOTAL TRANSFERENCIAS DE CAPITAL;777;777.000,00
—;—;TOTAL SECRETARÍA DE ESTADO DE JUSTICIA;17.491,74;17.491.740,00
13.08;41;A Organismos Autónomos;81.212,21;81.212.210,00
13.08;410;Al Centro de Estudios Políticos y Constitucionales;2.774,99;2.774.990,00
13.08;411;Al Centro de Investigaciones Sociológicas;11.450,76;11.450.760,00
13.08;417;Al Consejo de Administración del Patrimonio Nacional;66.986,46;66.986.460,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;81.212,21;81.212.210,00
13.08;71;A Organismos Autónomos;19.457,25;19.457.250,00
13.08;710;Al Centro de Estudios Políticos y Constitucionales;335,00;335.000,00
13.08;711;Al Centro de Investigaciones Sociológicas;50,98;50.980,00
13.08;717;Al Consejo de Administración del Patrimonio Nacional;19.071,27;19.071.270,00
—;—;TOTAL TRANSFERENCIAS DE CAPITAL;19.457,25;19.457.250,00
—;—;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;100.669,46;100.669.460,00
13.301;402;Al Estado, para compensar gastos de gestión centralizada;329,99;329.990,00
—;—;TOTAL AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;329,99;329.990,00
13.303;402;Al Estado, para compensar gastos de gestión centralizada;989,71;989.710,00
—;—;TOTAL AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;989,71;989.710,00
;;TOTAL TRANSFERENCIAS DE CAPITAL;19.457,25;19.457.250,00
;;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;100.669,46;100.669.460,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
