;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 921S Asesoramiento y defensa de los intereses del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.04;;Total;
1;GASTOS DE PERSONAL;38.600,57;;38.600,57;
10; Altos cargos;193,20;;193,20;
12; Funcionarios;31.757,45;;31.757,45;
13; Laborales;189,19;;189,19;
14; Otro personal;157,18;;157,18;
15; Incentivos al rendimiento;3.728,40;;3.728,40;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.575,15;;2.575,15;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.948,25;;3.948,25;
20; Arrendamientos y cánones;1.236,71;;1.236,71;
21; Reparaciones, mantenimiento y conservación;246,82;;246,82;
22; Material, suministros y otros;2.196,47;;2.196,47;
23; Indemnizaciones por razón del servicio;268,25;;268,25;
6;INVERSIONES REALES;2.088,41;;2.088,41;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;56,00;;56,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.702,45;;1.702,45;
64; Gastos de inversiones de carácter inmaterial;329,96;;329,96;
8;ACTIVOS FINANCIEROS;20,28;;20,28;
83; Concesión de préstamos fuera del Sector Público;20,28;;20,28;
;TOTAL;44.657,51;;44.657,51;
;;



