Económica;Explicación;13.04;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;38.600,57;38.600,57;38.600.570,00
10;Altos cargos;193,2;193,2;193.200,00
12;Funcionarios;31.757,45;31.757,45;31.757.450,00
13;Laborales;189,19;189,19;189.190,00
14;Otro personal;157,18;157,18;157.180,00
15;Incentivos al rendimiento;3.728,40;3.728,40;3.728.400,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.575,15;2.575,15;2.575.150,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.948,25;3.948,25;3.948.250,00
20;Arrendamientos y cánones;1.236,71;1.236,71;1.236.710,00
21;Reparaciones, mantenimiento y conservación;246,82;246,82;246.820,00
22;Material, suministros y otros;2.196,47;2.196,47;2.196.470,00
23;Indemnizaciones por razón del servicio;268,25;268,25;268.250,00
6;INVERSIONES REALES;2.088,41;2.088,41;2.088.410,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;56;56;56.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.702,45;1.702,45;1.702.450,00
64;Gastos de inversiones de carácter inmaterial;329,96;329,96;329.960,00
8;ACTIVOS FINANCIEROS;20,28;20,28;20.280,00
83;Concesión de préstamos fuera del Sector Público;20,28;20,28;20.280,00
;TOTAL Programa 921S Asesoramiento y defensa de los intereses del Estado;44.657,51;44.657,51;44.657.510,00
