;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 912O Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.08;;Total;
1;GASTOS DE PERSONAL;32.234,88;;32.234,88;
10; Altos cargos;604,19;;604,19;
11; Personal eventual;749,14;;749,14;
12; Funcionarios;21.384,10;;21.384,10;
13; Laborales;2.571,18;;2.571,18;
15; Incentivos al rendimiento;3.770,59;;3.770,59;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.155,68;;3.155,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.937,68;;7.937,68;
20; Arrendamientos y cánones;42,80;;42,80;
21; Reparaciones, mantenimiento y conservación;949,43;;949,43;
22; Material, suministros y otros;6.250,45;;6.250,45;
23; Indemnizaciones por razón del servicio;555,00;;555,00;
24; Gastos de publicaciones;140,00;;140,00;
4;TRANSFERENCIAS CORRIENTES;3.890,31;;3.890,31;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.437,00;;2.437,00;
48; A familias e instituciones sin fines de lucro;1.453,31;;1.453,31;
6;INVERSIONES REALES;4.207,00;;4.207,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.023,40;;1.023,40;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.294,00;;1.294,00;
64; Gastos de inversiones de carácter inmaterial;1.889,60;;1.889,60;
8;ACTIVOS FINANCIEROS;72,12;;72,12;
83; Concesión de préstamos fuera del Sector Público;72,12;;72,12;
;TOTAL;48.341,99;;48.341,99;
;;



