Económica;Explicación;13.03 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;15.837,12;15.837,12;15.837.120,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;14.122,24;14.122,24;14.122.240,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.653,84;1.653,84;1.653.840,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.993,59;3.993,59;3.993.590,00
21;Reparaciones, mantenimiento y conservación;172,87;172,87;172.870,00
22;Material, suministros y otros;3.729,72;3.729,72;3.729.720,00
23;Indemnizaciones por razón del servicio;91;91;91.000,00
3;GASTOS FINANCIEROS;15;15;15.000,00
35;Intereses de demora y otros gastos financieros;15;15;15.000,00
6;INVERSIONES REALES;16.823,30;16.823,30;16.823.300,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;16.262,59;16.262,59;16.262.590,00
64;Gastos de inversiones de carácter inmaterial;560,71;560,71;560.710,00
—;TOTAL PROGRAMA 113M;36.669,01;36.669,01;36.669.010,00
