;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
12SC; C19.I03 Competencias digitales para el empleo. Defensa;;500,00;;10.000,00;500,00;;;11.000,00;;;;11.000,00;
121M; Administración y Servicios Generales de Defensa;1.818.795,40;490.075,01;;124.864,36;100.340,69;;2.833,58;2.536.909,04;;;;2.536.909,04;
121N; Formación del Personal de las Fuerzas Armadas;425.689,71;43.758,95;;24.691,49;;188,00;;494.328,15;;;;494.328,15;
121O; Personal en reserva;579.999,37;;;;;;;579.999,37;;;;579.999,37;
122A; Modernización de las Fuerzas Armadas;;;;;459.203,70;;;459.203,70;;;;459.203,70;
122B; Programas especiales de modernización;;;;;4.901.716,30;;;4.901.716,30;;;;4.901.716,30;
122M; Gastos Operativos de las Fuerzas Armadas;1.753.938,69;341.199,61;;;210.425,10;;;2.305.563,40;;;;2.305.563,40;
122N; Apoyo Logístico;653.460,91;161.233,61;70,00;55.000,00;158.214,59;;130,00;1.028.109,11;;;;1.028.109,11;
222M; Prestaciones económicas del Mutualismo Administrativo;21.927,37;9.357,75;3,01;46.055,55;1.000,33;;198,20;78.542,21;2,00;;;78.544,21;
312A; Asistencia hospitalaria en las Fuerzas Armadas;152.371,96;24.609,48;;;1.255,31;;;178.236,75;;;;178.236,75;
312E; Asistencia sanitaria del Mutualismo Administrativo;;548.249,87;;210.707,00;;;;758.956,87;;;;758.956,87;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;;;;;159.592,89;;;159.592,89;;;;159.592,89;
464A; Investigación y estudios de las Fuerzas Armadas;84.081,43;56.399,13;310,00;1.668,78;89.392,14;;250,00;232.101,48;;;;232.101,48;
912Q; Asesoramiento para la protección de los intereses nacionales;216.651,66;56.929,09;;;60.177,29;50,00;300,00;334.108,04;;;;334.108,04;
931P; Control interno y Contabilidad Pública;;62,13;;;;;;62,13;;;;62,13;
;TOTAL CONSOLIDADO;5.706.916,50;1.732.374,63;383,01;472.987,18;6.141.818,34;238,00;3.711,78;14.058.429,44;2,00;;;14.058.431,44;
000X; Transferencias y libramientos internos;;;;313.543,51;;81.612,78;;395.156,29;250,00;;;395.406,29;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;313.543,51;;81.612,78;;395.156,29;250,00;;;395.406,29;
;TOTAL;5.706.916,50;1.732.374,63;383,01;786.530,69;6.141.818,34;81.850,78;3.711,78;14.453.585,73;252,00;;;14.453.837,73;
;;



