Servicio;Programa;Económica;Explicación;Total (miles €);Total (€);
1;451O;10;Altos cargos;284,67;284.670,00;
1;451O;100;Retribuciones básicas y otras remuneraciones;284,67;284.670,00;
1;451O;10000;Retribuciones básicas;138,91;138.910,00;
1;451O;10001;Retribuciones complementarias;145,76;145.760,00;
1;451O;11;Personal eventual;785,95;785.950,00;
1;451O;110;Retribuciones básicas y otras remuneraciones;785,95;785.950,00;
1;451O;11000;Retribuciones básicas;265,34;265.340,00;
1;451O;11001;Retribuciones complementarias;520,61;520.610,00;Total
1;451O;12;Funcionarios;22.318,27;22.318.270,00;
1;451O;120;Retribuciones básicas;2.291,82;2.291.820,00;
1;451O;12000;Sueldos grupo A1 y A;758,08;758.080,00;
1;451O;12001;Sueldos grupo A2 y B;456,28;456.280,00;284,67
1;451O;12002;Sueldos grupo C1 y C;294,34;294.340,00;284,67
1;451O;12003;Sueldos grupo C2 y D;112,45;112.450,00;
1;451O;12005;Trienios;267,14;267.140,00;
1;451O;12006;Pagas extraordinarias;403,53;403.530,00;785,95
1;451O;121;Retribuciones complementarias;17.971,22;17.971.220,00;785,95
1;451O;12100;Complemento de destino;1.045,56;1.045.560,00;
1;451O;12101;Complemento específico;1.453,66;1.453.660,00;
1;451O;12181;Necesidades adicionales;15.472,00;15.472.000,00;22.318,27
1;451O;123;Indemnizaciones por destino en el extranjero;808,22;808.220,00;2.291,82
1;451O;12300;Indemnización por destino en el extranjero;808,22;808.220,00;
1;451O;124;Funcionarios en prácticas;1.247,01;1.247.010,00;
1;451O;12400;Sueldos grupo A1 y A;516,53;516.530,00;
1;451O;12401;Sueldos grupo A2 y B;456,28;456.280,00;
1;451O;12402;Sueldos grupo C1 y C;144,76;144.760,00;
1;451O;12406;Pagas extraordinarias;129,44;129.440,00;
1;451O;13;Laborales;117,4;117.400,00;17.971,22
1;451O;130;Laboral fijo;117,4;117.400,00;
1;451O;13000;Retribuciones básicas;117,4;117.400,00;
1;451O;15;Incentivos al rendimiento;7.784,26;7.784.260,00;
1;451O;150;Productividad;7.200,38;7.200.380,00;808,22
1;451O;151;Gratificaciones;583,88;583.880,00;
1;451O;16;Cuotas, prestaciones y gastos sociales;2.784,60;2.784.600,00;1.247,01
1;451O;160;Cuotas sociales;1.533,76;1.533.760,00;
1;451O;16000;Seguridad Social;1.485,76;1.485.760,00;
1;451O;16009;Otras;48;48.000,00;
1;451O;162;Gastos sociales del personal;1.250,84;1.250.840,00;
1;451O;16200;Formación y perfeccionamiento;400;400.000,00;117,4
1;451O;16201;Economatos y comedores;12;12.000,00;117,4
1;451O;16204;Acción social;317,77;317.770,00;
1;451O;16205;Seguros;358,65;358.650,00;7.784,26
1;451O;16209;Otros;162,42;162.420,00;7.200,38
1;451O;49;Al exterior;11.546,00;11.546.000,00;583,88
1;451O;490;A Organizaciones Internacionales;11.546,00;11.546.000,00;2.784,60
1;451O;49005;Marco Acelerador de ODS6 de ONU-Agua;0,35;350;1.533,76
1;451O;49006;Conservación de Cetáceos (ACCOBAMS);0,057;57,00;
1;451O;49008;Conservación de Albatros y Petreles (ACAP);0,059;59;
1;451O;49011;Diario Internacional de las Transacciones (ITL);0,037;37;1.250,84
