Económica;Explicación;23.01;23.02;23.03;23.04;23.05;23.06;23.08;23.09;23.10;23.11;23.12;23.13;23.14;23.50;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;34.075,15;2.165,44;2.210,50;1.174,48;7.999,46;25.070,66;6.934,67;4.902,38;2.781,63;6.552,93;10.493,29;486,6;952,35;;105.799,54;105.799.540,00
10;Altos cargos;284,67;61,04;151,45;80,3;61,04;61,04;61,04;61,04;61,04;61,04;61,04;71,16;61,04;;1.136,94;1.136.940,00
11;Personal eventual;785,95;;251,09;251,09;;;;;;;;;;;1.288,13;1.288.130,00
12;Funcionarios;22.318,27;1.881,84;1.504,78;727,82;6.391,97;14.188,49;5.755,64;4.244,66;2.280,66;4.776,08;6.603,88;348,71;762,81;;71.785,61;71.785.610,00
13;Laborales;117,4;;;;465,76;6.665,74;21,67;;;640,41;2.330,35;;;;10.241,33;10.241.330,00
15;Incentivos al rendimiento;7.784,26;;;;;;;;;;;;;;7.784,26;7.784.260,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.784,60;222,56;303,18;115,27;1.080,69;4.155,39;1.096,32;596,68;439,93;1.075,40;1.498,02;66,73;128,5;;13.563,27;13.563.270,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;;;;;;;;;24.581,51;;;;24.581,51;24.581.510,00
20;Arrendamientos y cánones;;;;;;;;;;;1.205,67;;;;1.205,67;1.205.670,00
21;Reparaciones, mantenimiento y conservación;;;;;;;;;;;2.784,80;;;;2.784,80;2.784.800,00
22;Material, suministros y otros;;;;;;;;;;;18.680,82;;;;18.680,82;18.680.820,00
23;Indemnizaciones por razón del servicio;;;;;;;;;;;1.758,22;;;;1.758,22;1.758.220,00
24;Gastos de publicaciones;;;;;;;;;;;152,00;;;;152,00;152.000,00
3;GASTOS FINANCIEROS;;;;;;;;;;;15,17;;;;15,17;15.170,00
35;Intereses de demora y otros gastos financieros;;;;;;;;;;;15,17;;;;15,17;15.170,00
4;TRANSFERENCIAS CORRIENTES;11.546,00;;286.451,44;9.375,00;14.261,75;1.869,28;;4.580,01;222,28;15.197,42;4.725,53;;29.908,97;77.500,00;455.637,68;455.637.680,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;;;27.500,00;;;;;4.580,00;;14.827,42;;;63,87;2.000,00;48.971,29;48.971.290,00
45;A Comunidades Autónomas;;;255.000,00;8.500,00;8.000,00;;;;;;;;13.193,00;61.000,00;345.693,00;345.693.000,00
46;A Entidades Locales;;;;;;;;;;20;;;10.265,10;1.500,00;11.785,10;11.785.100,00
47;A empresas privadas;;;;;;;;;;73,32;;;3.000,00;;3.073,32;3.073.320,00
48;A familias e instituciones sin fines de lucro;;;3.951,44;875;;1.869,28;;0,01;222,28;350;4.652,21;;3.387,00;13.000,00;28.307,22;28.307.220,00
49;Al exterior;11.546,00;;;;6.261,75;;;;;;;;;;17.807,75;17.807.750,00
6;INVERSIONES REALES;;;16.086,93;468,24;426.885,72;68.765,51;7.040,08;11.536,05;1.500,00;142.667,20;12.300,00;;500;278.114,88;965.864,61;965.864.610,00
60;Inversión nueva en infraestructuras y bienes destinados al uso general;;;;;188.485,72;39.719,32;;;;7.000,00;;;;;235.205,04;235.205.040,00
61;Inversión de reposición en infraestructuras y bienes destinados al uso general;;;;;197.400,00;18.046,19;;;;102.752,36;;;;;318.198,55;318.198.550,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;;;;;500;;;;;1.001,00;1.600,00;;;;3.101,00;3.101.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;;;;;231,14;;;;3.002,00;1.700,00;;;;4.933,14;4.933.140,00
64;Gastos de inversiones de carácter inmaterial;;;16.086,93;468,24;40.500,00;10.768,86;7.040,08;11.536,05;1.500,00;28.911,84;9.000,00;;500;;126.312,00;126.312.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;;278.114,88;278.114,88;278.114.880,00
7;TRANSFERENCIAS DE CAPITAL;13.170,00;;34.266,00;;60.307,00;950,00;11.200,13;9.121,51;10.800,00;23.649,18;14.670,69;;39.797,16;4.258.103,15;4.476.034,82;4.476.034.820,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;;;32.266,00;;17.000,00;;3.300,00;1.549,18;;;;;;4.040.596,12;4.094.711,30;4.094.711.300,00
75;A Comunidades Autónomas;13.170,00;;;;41.502,00;;8.500,13;6.621,51;7.500,00;22.000,00;;;11.176,86;62.007,03;172.477,53;172.477.530,00
76;A Entidades Locales;;;2.000,00;;1.805,00;950,00;2.700,00;;100,00;14.670,69;;;22.620,30;1.500,00;46.345,99;46.345.990,00
77;A empresas privadas;;;;;2.000,00;;;;3.000,00;;;;3.000,00;150.000,00;155.000,00;155.000.000,00
78;A familias e instituciones sin fines de lucro;;;;;500,00;;;;3.000,00;4.000,00;;;;;7.500,00;7.500.000,00
8;ACTIVOS FINANCIEROS;;;471.220,64;;386.820,49;;;12.000,00;22.000,00;168,36;;;;50.000,00;942.209,49;942.209.490,00
82;Concesión de préstamos al Sector Público;;;471.220,64;;;;;;22.000,00;;;;;50.000,00;543.220,64;543.220.640,00
83;Concesión de préstamos fuera del Sector Público;;;;;;;;;;62,36;;;;;62,36;62.360,00
84;Constitución de depósitos y fianzas;;;;;;;;;;106;;;;;106,00;106.000,00
85;Adquisición de acciones y participaciones del Sector Público;;;;;386.820,49;;;;;;;;;;386.820,49;386.820.490,00
87;Aportaciones patrimoniales;;;;;;;;12.000,00;;;;;;;12.000,00;12.000.000,00
4;TRANSFERENCIAS CORRIENTES entre subsectores;;165.959,34;40.521,99;83.311,80;;;;;;;;193,87;;333.802,27;-289.987,00;-289.987.000,00
41;A Organismos Autónomos;;165.559,34;11.681,35;83.311,80;;;;;;;;193,87;;300.156,24;-260.746,36;-260.746.360,00
43;A otras entidades del Sector Público Administrativo Estatal;;400;28.840,64;;;;;;;;;;;;-29.240,64;-29.240.640,00
7;TRANSFERENCIAS DE CAPITAL entre subsectores;;3.576.113,56;60.587,32;66.820,00;;;2.215,56;;2.453,36;;;;;;-4.041.992,07;-4.041.992.070,00
;TOTAL CONSOLIDADO – Ministerio para la Transición Ecológica y el Reto Demográfico;;;165.959,34;40.521,99;83.311,80;;;;;;;;193,87;;6.970.142,82;6.970.142.820,00
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;3.742.072,90;101.109,31;150.131,80;;2.215,56;;;2.453,36;;;193,87;333.802,27;4.331.979,07;4.331.979.070,00
;TOTAL;58.791,15;2.165,44;4.552.308,41;112.127,03;1.046.406,22;96.655,45;27.390,44;30.139,95;27.303,91;212.520,09;66.954,55;486,6;71.352,35;4.997.520,30;11.302.121,89;11.302.121.890,00
