 Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;9.421,25;9.421.250,00
15;Incentivos al rendimiento;267,51;267.510,00
150;Productividad;238,77;238.770,00
151;Gratificaciones;28,74;28.740,00
16000;Seguridad Social;1.979,43;1.979.430,00
16200;Formación del personal;33,33;33.330,00
16201;Economatos y comedores;75;75.000,00
16204;Acción social;16,86;16.860,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.519,20;8.519.200,00
22.502;Locales;93,21;93.210,00
22601;Atenciones protocolarias;2,34;2.340,00
3;GASTOS FINANCIEROS;26;26.000,00
352;Intereses de demora;10;10.000,00
359;Otros gastos financieros;16;16.000,00
4;TRANSFERENCIAS CORRIENTES;36.032,97;36.032.970,00
44–49;A entidades públicas, privadas, locales, familias, exterior;—;—
6;INVERSIONES REALES;197,22;197.220,00
7;TRANSFERENCIAS DE CAPITAL;50;50.000,00
780;Al Consejo de la Juventud de España;50;50.000,00
8;ACTIVOS FINANCIEROS;29,95;29.950,00
831;Préstamos a largo plazo;29,95;29.950,00
TOTAL GENERAL PROGRAMA 232A;—;54.276,59;54.276.590,00
