Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
31.03;11;Personal eventual;253,2;253.200,00
31.04;10;Altos cargos;61,04;61.040,00
31.04;12;Funcionarios;1.133,87;1.133.870,00
31.04;13;Laborales;482,19;482.190,00
31.04;16;Cuotas y gastos sociales;366,13;366.130,00
31.04;22;Material, suministros y otros;2.262,40;2.262.400,00
31.04;22601;Atenciones protocolarias;2,4;2.400,00
31.04;23;Indemnizaciones por servicio;23,22;23.220,00
31.04;45;A Comunidades Autónomas;35.000,00;35.000.000,00
31.04;46;A Entidades Locales;0,01;10,00
31.04;48;A familias e instituciones sin ánimo de lucro;1.748,60;1.748.600,00
31.04;480;A EAPN y POI (pobreza infantil);250;250.000,00
31.04;481;A FIDECAI (adopción internacional);40;40.000,00
31.04;482;A ECA (adopción internacional);20;20.000,00
31.04;483;A POI y entidades asociadas;1.333,57;1.333.570,00
31.04;484;Proyectos detección temprana (FSE+);0,01;10,00
31.04;485;Recursos residenciales (FSE+);0,01;10,00
31.04;486;Intervención en traumas (FSE+);0,01;10,00
31.04;487;Actuaciones infancia y adolescencia;105;105.000,00
31.04;48700;Centre Cultural Sant Vicenç de Sarrià;15;15.000,00
31.04;48701;Associació Superacció;90;90.000,00
31.04;76;A Entidades Locales (capital);52;52.000,00
31.04;76000;Ajuntament de Gallifa (jardín infancia);52;52.000,00
;;Secretaría de Estado de Juventud e Infancia;253,2;253.200,00
;;Dirección General de Derechos de la Infancia y Adolescencia;41.129,46;41.129.460,00
;;TOTAL PROGRAMA 231G;41.382,66;41.382.660,00
