Económica;Explicación;15.01;15.05;15.50;15.104;Total (miles Euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;35.381,00;1.256.657,70;2.941,00;21.453,66;1.316.433,36;1.316.433.360,00 €
40;A la Administración del Estado;—;—;—;21.453,66;21.453,66;21.453.660,00 €
41;A Organismos Autónomos;35.381,00;25.078,60;2.941,00;—;63.400,60;63.400.600,00 €
43;A otras entidades del Sector Público Administrativo Estatal;—;1.231.579,10;—;—;1.231.579,10;1.231.579.100,00 €
7;TRANSFERENCIAS DE CAPITAL;1.124,00;104.421,79;—;—;105.545,79;105.545.790,00 €
71;A Organismos Autónomos;1.124,00;1.430,00;—;—;2.554,00;2.554.000,00 €
73;A otras entidades del Sector Público Administrativo Estatal;—;102.991,79;—;—;102.991,79;102.991.790,00 €
—;TOTAL PROGRAMA 000X;36.505,00;1.361.079,49;2.941,00;21.453,66;1.421.979,15;1.421.979.150,00 €
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
