Económica;Explicación;15.302;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.029.501,18;1.029.501,18;1.029.501.180,00
10;Altos cargos;437,8;437,8;437.800,00
12;Funcionarios;820.645,23;820.645,23;820.645.230,00
13;Laborales;43.595,54;43.595,54;43.595.540,00
15;Incentivos al rendimiento;87.017,18;87.017,18;87.017.180,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;77.805,43;77.805,43;77.805.430,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;261.557,15;261.557,15;261.557.150,00
20;Arrendamientos y cánones;26.789,93;26.789,93;26.789.930,00
21;Reparaciones, mantenimiento y conservación;32.245,20;32.245,20;32.245.200,00
22;Material, suministros y otros;194.522,02;194.522,02;194.522.020,00
23;Indemnizaciones por razón del servicio;8.000,00;8.000,00;8.000.000,00
3;GASTOS FINANCIEROS;50;50;50.000,00
31;De préstamos en euros;10;10;10.000,00
35;Intereses de demora y otros gastos financieros;40;40;40.000,00
4;TRANSFERENCIAS CORRIENTES;1.040,80;1.040,80;1.040.800,00
45;A Comunidades Autónomas;60;60;60.000,00
48;A familias e instituciones sin fines de lucro;820,8;820,8;820.800,00
49;Al exterior;160;160;160.000,00
6;INVERSIONES REALES;102.991,79;102.991,79;102.991.790,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;102.991,79;102.991,79;102.991.790,00
8;ACTIVOS FINANCIEROS;732,97;732,97;732.970,00
83;Concesión de préstamos fuera del Sector Público;732,97;732,97;732.970,00
—;TOTAL PROGRAMA 932A — APLICACIÓN DEL SISTEMA TRIBUTARIO ESTATAL;—;1.395.873,89;1.395.873,89
