;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 921T Servicios de transportes de Ministerios;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.107;;Total;
1;GASTOS DE PERSONAL;42.124,57;;42.124,57;
10; Altos cargos;61,05;;61,05;
12; Funcionarios;3.753,92;;3.753,92;
13; Laborales;26.751,66;;26.751,66;
15; Incentivos al rendimiento;1.679,35;;1.679,35;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;9.878,59;;9.878,59;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.783,23;;4.783,23;
21; Reparaciones, mantenimiento y conservación;1.399,00;;1.399,00;
22; Material, suministros y otros;3.187,23;;3.187,23;
23; Indemnizaciones por razón del servicio;197,00;;197,00;
3;GASTOS FINANCIEROS;25,00;;25,00;
35; Intereses de demora y otros gastos financieros;25,00;;25,00;
6;INVERSIONES REALES;1.500,00;;1.500,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;235,00;;235,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.265,00;;1.265,00;
8;ACTIVOS FINANCIEROS;101,52;;101,52;
83; Concesión de préstamos fuera del Sector Público;101,52;;101,52;
;TOTAL;48.534,32;;48.534,32;
;;



