Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
15.104;1;Gastos de personal;3.193,99;3.193.990,00 €
;15;L Incentivos al rendimiento;243,04;243.040,00 €
;150;L Productividad;220,18;220.180,00 €
;151;L Gratificaciones;22,86;22.860,00 €
;16000;L Seguridad Social;237,5;237.500,00 €
;16200;L Formación y perfeccionamiento del personal;15,6;15.600,00 €
;16201;L Economatos y comedores;90;90.000,00 €
;16204;L Acción social;17,3;17.300,00 €
15.104;2;Gastos corrientes en bienes y servicios;4.443,20;4.443.200,00 €
;22502;L Locales;105,06;105.060,00 €
;22601;L Atenciones protocolarias y representativas;2,34;2.340,00 €
15.104;3; Gastos financieros;90,15;90.150,00 €
;35 / 352;L Intereses de demora y otros gastos financieros;90,15;90.150,00 €
15.104;6; Inversiones reales;990,57;990.570,00 €
;;TOTAL COMISIONADO PARA EL MERCADO DE TABACOS;8.717,91;8.717.910,00 €
