;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 922N Coordinación y relaciones financieras con los Entes Territoriales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.22;;Total;
1;GASTOS DE PERSONAL;7.458,52;;7.458,52;
10; Altos cargos;132,21;;132,21;
12; Funcionarios;6.540,85;;6.540,85;
13; Laborales;25,46;;25,46;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;760,00;;760,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;363,81;;363,81;
21; Reparaciones, mantenimiento y conservación;53,21;;53,21;
22; Material, suministros y otros;247,94;;247,94;
23; Indemnizaciones por razón del servicio;62,66;;62,66;
6;INVERSIONES REALES;1.076,37;;1.076,37;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;258,37;;258,37;
64; Gastos de inversiones de carácter inmaterial;818,00;;818,00;
8;ACTIVOS FINANCIEROS;16.000.000,00;;16.000.000,00;
87; Aportaciones patrimoniales;16.000.000,00;;16.000.000,00;
;TOTAL;16.008.898,70;;16.008.898,70;
;;



