Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
15.11;10;Altos cargos;71,17;71.170,00 €
15.11;12;Funcionarios;70.630,51;70.630.510,00 €
15.11;13;Laborales;1.033,52;1.033.520,00 €
15.11;150;Productividad;12.368,67;12.368.670,00 €
15.11;15;Incentivos al rendimiento;12.368,67;12.368.670,00 €
15.11;16000;Seguridad Social;4.750,00;4.750.000,00 €
15.11;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.750,00;4.750.000,00 €
;—;TOTAL GASTOS DE PERSONAL;88.853,87;88.853.870,00 €
15.11;21;Reparaciones, mantenimiento y conservación;918,82;918.820,00 €
15.11;22;Material, suministros y otros;208,16;208.160,00 €
15.11;22601;Atenciones protocolarias y representativas;4,68;4.680,00 €
15.11;23;Indemnizaciones por razón del servicio;608,48;608.480,00 €
;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.735,46;1.735.460,00 €
15.11;6;INVERSIONES REALES;1.699,69;1.699.690,00 €
;—;TOTAL INTERVENCIÓN GENERAL DE LA ADMINISTRACIÓN DEL ESTADO;92.289,02;92.289.020,00 €
;—;TOTAL PROGRAMA 931P — CONTROL INTERNO Y CONTABILIDAD PÚBLICA;92.289,02;92.289.020,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
