Económica;Explicación;15.11;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;88.853,87;88.853,87;88.853.870,00
10;Altos cargos;71,17;71,17;71.170,00
12;Funcionarios;70.630,51;70.630,51;70.630.510,00
13;Laborales;1.033,52;1.033,52;1.033.520,00
15;Incentivos al rendimiento;12.368,67;12.368,67;12.368.670,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.750,00;4.750,00;4.750.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.735,46;1.735,46;1.735.460,00
21;Reparaciones, mantenimiento y conservación;918,82;918,82;918.820,00
22;Material, suministros y otros;208,16;208,16;208.160,00
23;Indemnizaciones por razón del servicio;608,48;608,48;608.480,00
6;INVERSIONES REALES;1.699,69;1.699,69;1.699.690,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;53,13;53,13;53.130,00
64;Gastos de inversiones de carácter inmaterial;1.646,56;1.646,56;1.646.560,00
—;TOTAL PROGRAMA 931P — CONTROL INTERNO Y CONTABILIDAD PÚBLICA;—;92.289,02;92.289.020,00
