;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.01;15.05;15.50;15.104;;Total;
4;TRANSFERENCIAS CORRIENTES;35.381,00;1.256.657,70;2.941,00;21.453,66;;1.316.433,36;
40; A la Administración del Estado;;;;21.453,66;;21.453,66;
41; A Organismos Autónomos;35.381,00;25.078,60;2.941,00;;;63.400,60;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;1.231.579,10;;;;1.231.579,10;
7;TRANSFERENCIAS DE CAPITAL;1.124,00;104.421,79;;;;105.545,79;
71; A Organismos Autónomos;1.124,00;1.430,00;;;;2.554,00;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;102.991,79;;;;102.991,79;
;TOTAL;36.505,00;1.361.079,49;2.941,00;21.453,66;;1.421.979,15;
;;



