Orgánica;Económica;Explicación;Total (miles Euros);Total  (euros)
15.09;1;GASTOS DE PERSONAL;29.264,49;29.264.490,00 €
15.09;10;Altos cargos;61,05;61.050,00 €
15.09;12;Funcionarios;27.200,77;27.200.770,00 €
15.09;13;Laborales;552,67;552.670,00 €
15.09;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.450,00;1.450.000,00 €
15.09;16000;Seguridad Social;1.450,00;1.450.000,00 €
15.09;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,21;601.210,00 €
15.09;21;Reparaciones, mantenimiento y conservación;129,49;129.490,00 €
15.09;22;Material, suministros y otros;389,99;389.990,00 €
15.09;22601;Atenciones protocolarias y representativas;11,75;11.750,00 €
15.09;23;Indemnizaciones por razón del servicio;81,73;81.730,00 €
15.09;4;TRANSFERENCIAS CORRIENTES;1;1.000,00 €
15.09;49;Al exterior;1;1.000,00 €
15.09;495;Cuota participación en Asociación Iberoamericana de Tribunales...;1;1.000,00 €
15.09;6;INVERSIONES REALES;1.430,56;1.430.560,00 €
—;—;TOTAL TRIBUNAL ECONÓMICO-ADMINISTRATIVO CENTRAL;—;—
—;—;TOTAL Resolución de reclamaciones económico-administrativas;31.297,26;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
