;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 931Q Control y Supervisión de la Política Fiscal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.301;;Total;
1;GASTOS DE PERSONAL;6.731,21;;6.731,21;
10; Altos cargos;731,54;;731,54;
12; Funcionarios;3.349,53;;3.349,53;
13; Laborales;172,31;;172,31;
15; Incentivos al rendimiento;1.505,15;;1.505,15;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;972,68;;972,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.445,69;;3.445,69;
20; Arrendamientos y cánones;100,00;;100,00;
21; Reparaciones, mantenimiento y conservación;37,00;;37,00;
22; Material, suministros y otros;3.188,69;;3.188,69;
23; Indemnizaciones por razón del servicio;110,00;;110,00;
24; Gastos de publicaciones;10,00;;10,00;
3;GASTOS FINANCIEROS;30,00;;30,00;
35; Intereses de demora y otros gastos financieros;30,00;;30,00;
4;TRANSFERENCIAS CORRIENTES;160,00;;160,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;80,00;;80,00;
47; A empresas privadas;80,00;;80,00;
6;INVERSIONES REALES;200,00;;200,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;170,00;;170,00;
64; Gastos de inversiones de carácter inmaterial;30,00;;30,00;
8;ACTIVOS FINANCIEROS;12,00;;12,00;
83; Concesión de préstamos fuera del Sector Público;12,00;;12,00;
;TOTAL;10.578,90;;10.578,90;
;;



