Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
15.302;15;Incentivos al rendimiento;87.017,18;87.017.180,00 €
15.302;150;Productividad;86.417,18;86.417.180,00 €
15.302;151;Gratificaciones;600;600.000,00 €
15.302;16200;Formación y perfeccionamiento del personal;669,92;669.920,00 €
15.302;16201;Economatos y comedores;92;92.000,00 €
15.302;16204;Acción social;2.402,42;2.402.420,00 €
;—;TOTAL GASTOS DE PERSONAL;1.029.501,18;1.029.501.180,00 €
15.302;202;Arrendamientos de edificios y otras construcciones;15.713,03;15.713.030,00 €
15.302;22109;Labores Fábrica Nacional Moneda y Timbre;6.300,00;6.300.000,00 €
15.302;22502;Locales;8.057,00;8.057.000,00 €
15.302;22601;Atenciones protocolarias y representativas;146,98;146.980,00 €
;—;TOTAL AGENCIA ESTATAL DE ADMINISTRACIÓN TRIBUTARIA;1.395.873,89;1.395.873.890,00 €
;—;TOTAL PROGRAMA 932A — APLICACIÓN DEL SISTEMA TRIBUTARIO ESTATAL;1.395.873,89;1.395.873.890,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
