Económica;Explicación;Importe (miles €);Importe (€)
1;Gastos de personal;4.961,20;4.961.200,00 €
15;Incentivos al rendimiento;671,96;671.960,00 €
150;Productividad;671,96;671.960,00 €
16000;Seguridad Social;353,93;353.930,00 €
16200;Formación y perfeccionamiento del personal;17;17.000,00 €
16204;Acción social;11,34;11.340,00 €
2;Gastos corrientes en bienes y servicios;708,89;708.890,00 €
22601;Atenciones protocolarias y representativas;2,34;2.340,00 €
4;Transferencias corrientes;186,19;186.190,00 €
48;A familias e instituciones sin fines de lucro;186,19;186.190,00 €
480;Becas;186,19;186.190,00 €
6;Inversiones reales;620;620.000,00 €
8;Activos financieros;35,74;35.740,00 €
83;Concesión de préstamos fuera del Sector Público;35,74;35.740,00 €
830;Préstamos a corto plazo;35,74;35.740,00 €
;TOTAL PROGRAMA 462N;6.512,02;6.512.020,00 €
