Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;42.124,57;42.124.570,00
15;Incentivos al rendimiento;1.679,35;1.679.350,00
150;Productividad;1.649,19;1.649.190,00
151;Gratificaciones;30,16;30.160,00
16000;Seguridad Social;9.602,08;9.602.080,00
16200;Formación y perfeccionamiento del personal;30,49;30.490,00
16204;Acción social;100;100.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.783,23;4.783.230,00
22502;Locales;700;700.000,00
22601;Atenciones protocolarias y representativas;2,34;2.340,00
3;GASTOS FINANCIEROS;25;25.000,00
35;Intereses de demora y otros gastos financieros;25;25.000,00
352;Intereses de demora;20;20.000,00
359;Otros gastos financieros;5;5.000,00
6;INVERSIONES REALES;1.500,00;1.500.000,00
8;ACTIVOS FINANCIEROS;101,52;101.520,00
83;Concesión de préstamos fuera del Sector Público;101,52;101.520,00
831;Préstamos a largo plazo;101,52;101.520,00
;TOTAL PROGRAMA 921T — PARQUE MÓVIL DEL ESTADO;48.534,32;48.534.320,00
