Económica;Explicación;15.22 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;7.458,52;7.458,52;7.458.520,00
10;Altos cargos;132,21;132,21;132.210,00
12;Funcionarios;6.540,85;6.540,85;6.540.850,00
13;Laborales;25,46;25,46;25.460,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;760;760;760.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;363,81;363,81;363.810,00
21;Reparaciones, mantenimiento y conservación;53,21;53,21;53.210,00
22;Material, suministros y otros;247,94;247,94;247.940,00
23;Indemnizaciones por razón del servicio;62,66;62,66;62.660,00
6;INVERSIONES REALES;1.076,37;1.076,37;1.076.370,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;258,37;258,37;258.370,00
64;Gastos de inversiones de carácter inmaterial;818;818;818.000,00
8;ACTIVOS FINANCIEROS;16.000.000,00;16.000.000,00;16.000.000.000,00
87;Aportaciones patrimoniales;16.000.000,00;16.000.000,00;16.000.000.000,00
;TOTAL PROGRAMA 922N;—;16.008.898,70;16.008.898.700,00
