Económica;Explicación;Total (miles Euros);Total (euros)
1;Gastos de personal;2.017,63;2.017.630,00 €
12;Funcionarios;1.740,79;1.740.790,00 €
13;Laborales;107,16;107.160,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;169,68;169.680,00 €
2;Gastos corrientes en bienes y servicios;27,63;27.630,00 €
22;Material, suministros y otros;4,89;4.890,00 €
23;Indemnizaciones por razón del servicio;22,74;22.740,00 €
3;Gastos financieros;10;10.000,00 €
35;Intereses de demora y otros gastos financieros;10;10.000,00 €
7;Transferencias de capital;142.000,00;142.000.000,00 €
77;A empresas privadas;142.000,00;142.000.000,00 €
;TOTAL PROGRAMA 422A;144.055,26;144.055.260,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
