;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 313D Donación y trasplante de órganos, tejidos y células;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;26.105;;Total;
1;GASTOS DE PERSONAL;2.930,47;;2.930,47;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;2.076,79;;2.076,79;
15; Incentivos al rendimiento;249,79;;249,79;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;542,85;;542,85;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.107,12;;1.107,12;
21; Reparaciones, mantenimiento y conservación;142,79;;142,79;
22; Material, suministros y otros;858,69;;858,69;
23; Indemnizaciones por razón del servicio;102,52;;102,52;
24; Gastos de publicaciones;3,12;;3,12;
4;TRANSFERENCIAS CORRIENTES;2.126,62;;2.126,62;
48; A familias e instituciones sin fines de lucro;2.126,62;;2.126,62;
6;INVERSIONES REALES;267,55;;267,55;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;248,23;;248,23;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;19,32;;19,32;
8;ACTIVOS FINANCIEROS;25,00;;25,00;
83; Concesión de préstamos fuera del Sector Público;25,00;;25,00;
;TOTAL;6.456,76;;6.456,76;
;;



