;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;Programa: 141M Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;12.01;;Total;
1;GASTOS DE PERSONAL;59.700,77;;59.700,77;
10; Altos cargos;452,65;;452,65;
11; Personal eventual;822,94;;822,94;
12; Funcionarios;44.557,16;;44.557,16;
13; Laborales;3.511,41;;3.511,41;
15; Incentivos al rendimiento;5.713,70;;5.713,70;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.642,91;;4.642,91;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;23.735,97;;23.735,97;
20; Arrendamientos y cánones;500,00;;500,00;
21; Reparaciones, mantenimiento y conservación;4.043,45;;4.043,45;
22; Material, suministros y otros;14.345,44;;14.345,44;
23; Indemnizaciones por razón del servicio;4.777,08;;4.777,08;
24; Gastos de publicaciones;70,00;;70,00;
3;GASTOS FINANCIEROS;6,00;;6,00;
35; Intereses de demora y otros gastos financieros;6,00;;6,00;
4;TRANSFERENCIAS CORRIENTES;543,19;;543,19;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;33,06;;33,06;
48; A familias e instituciones sin fines de lucro;507,12;;507,12;
49; Al exterior;3,01;;3,01;
6;INVERSIONES REALES;11.869,80;;11.869,80;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;8.051,08;;8.051,08;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;3.818,72;;3.818,72;
8;ACTIVOS FINANCIEROS;22,80;;22,80;
83; Concesión de préstamos fuera del Sector Público;22,80;;22,80;
;TOTAL;95.878,53;;95.878,53;
;;



