Económica;Explicación;12.01;12.04;12.05;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;283.160,17;6.171,87;2.670,91;292.002,95;292.002.950,00
10;Altos cargos;122,07;385,43;202,36;709,86;709.860,00
11;Personal eventual;;256,06;256,06;512,12;512.120,00
12;Funcionarios;164.032,87;5.092,68;1.916,83;171.042,38;171.042.380,00
13;Laborales;89.123,71;;;89.123,71;89.123.710,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;29.881,52;437,7;295,66;30.614,88;30.614.880,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;97.887,26;1.215,16;464,04;99.566,46;99.566.460,00
20;Arrendamientos y cánones;27.993,73;;;27.993,73;27.993.730,00
21;Reparaciones, mantenimiento y conservación;9.211,68;;;9.211,68;9.211.680,00
22;Material, suministros y otros;52.720,32;1.215,16;464,04;54.399,52;54.399.520,00
23;Indemnizaciones por razón del servicio;7.961,53;;;7.961,53;7.961.530,00
3;GASTOS FINANCIEROS;19,04;;;19,04;19.040,00
35;Intereses de demora y otros gastos financieros;19,04;;;19,04;19.040,00
4;TRANSFERENCIAS CORRIENTES;2.615,61;407.573,44;1.927,47;412.116,52;412.116.520,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones, etc.;;5.003,84;1.321,97;6.325,81;6.325.810,00
48;A familias e instituciones sin fines de lucro;183,00;1.800,00;196,5;2.179,50;2.179.500,00
49;Al exterior;2.432,61;400.769,60;409;403.611,21;403.611.210,00
6;INVERSIONES REALES;51.292,79;;;51.292,79;51.292.790,00
62;Inversión nueva asociada al funcionamiento operativo;42.192,61;;;42.192,61;42.192.610,00
63;Inversión de reposición asociada al funcionamiento operativo;8.054,35;;;8.054,35;8.054.350,00
64;Gastos de inversiones de carácter inmaterial;1.045,83;;;1.045,83;1.045.830,00
8;ACTIVOS FINANCIEROS;759,6;;;759,6;759.600,00
83;Concesión de préstamos fuera del Sector Público;600;;;600;600.000,00
84;Constitución de depósitos y fianzas;159,60;;;159,6;159.600,00
—;TOTAL GENERAL;435.734,47;414.960,47;5.062,42;855.757,36;855.757.360,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
