;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;Programa: 144A Cooperación, promoción y difusión cultural en el exterior;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;12.301;12.302;Total;
1;GASTOS DE PERSONAL;69.629,31;;69.629,31;
10; Altos cargos;205,38;;205,38;
13; Laborales;54.132,16;;54.132,16;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;15.291,77;;15.291,77;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;65.464,67;2.873,00;68.337,67;
20; Arrendamientos y cánones;12.990,00;183,00;13.173,00;
21; Reparaciones, mantenimiento y conservación;2.506,00;;2.506,00;
22; Material, suministros y otros;48.131,67;2.588,13;50.719,80;
23; Indemnizaciones por razón del servicio;1.735,00;61,87;1.796,87;
24; Gastos de publicaciones;102,00;40,00;142,00;
3;GASTOS FINANCIEROS;675,00;;675,00;
35; Intereses de demora y otros gastos financieros;675,00;;675,00;
4;TRANSFERENCIAS CORRIENTES;523,00;2.360,00;2.883,00;
48; A familias e instituciones sin fines de lucro;523,00;2.165,00;2.688,00;
49; Al exterior;;195,00;195,00;
6;INVERSIONES REALES;6.847,97;;6.847,97;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;6.747,97;;6.747,97;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;100,00;;100,00;
8;ACTIVOS FINANCIEROS;50,00;;50,00;
83; Concesión de préstamos fuera del Sector Público;50,00;;50,00;
;TOTAL;143.189,95;5.233,00;148.422,95;
;;



