 Económica;Explicación;Orgánica ;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;23.50;77.500,00;77.500.000,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;23.50;2.000,00;2.000.000,00
45;A Comunidades Autónomas;23.50;61.000,00;61.000.000,00
46;A Entidades Locales;23.50;1.500,00;1.500.000,00
48;A familias e instituciones sin fines de lucro;23.50;13.000,00;13.000.000,00
7;TRANSFERENCIAS DE CAPITAL;23.50;12.500,00;12.500.000,00
75;A Comunidades Autónomas;23.50;8.000,00;8.000.000,00
76;A Entidades Locales;23.50;500;500.000,00
78;A familias e instituciones sin fines de lucro;23.50;4.000,00;4.000.000,00
—;TOTAL PROGRAMA C19.I01;—;90.000,00;90.000.000,00
