Económica;Explicación;23.06 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;25.070,66;25.070,66;25.070.660
10;Altos cargos;61,04;61,04;61.040
12;Funcionarios;14.188,49;14.188,49;14.188.490
13;Laborales;6.665,74;6.665,74;6.665.740
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.155,39;4.155,39;4.155.390
4;TRANSFERENCIAS CORRIENTES;1.869,28;1.869,28;1.869.280
48;A familias e instituciones sin fines de lucro;1.869,28;1.869,28;1.869.280
6;INVERSIONES REALES;68.765,51;68.765,51;68.765.510
60;Inversión nueva en infraestructuras y bienes destinados al uso general;39.719,32;39.719,32;39.719.320
61;Reposición en infraestructuras y bienes destinados al uso general;18.046,19;18.046,19;18.046.190
63;Reposición asociada al funcionamiento operativo de los servicios;231,14;231,14;231.140,00
64;Gastos de inversiones de carácter inmaterial;10.768,86;10.768,86;10.768.860
7;TRANSFERENCIAS DE CAPITAL;950,00;950;950.000,00
76;A Entidades Locales;950,00;950;950.000,00
TOTAL;—;—;96.655,45;96.655.450,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
