Clasificación Económica;Explicación Económica;Clasificación Orgánica (23.09);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;23.09;707,52;707.520,00 €
12;Funcionarios;23.09;661,65;661.650,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;23.09;45,87;45.870,00 €
16000;Seguridad Social;23.09;45,87;45.870,00 €
4;TRANSFERENCIAS CORRIENTES;23.09;4.580,01;4.580.010,00 €
44;A entidades del Sector Público Estatal – hoja de ruta de materias primas minerales;23.09;4.580,00;4.580.000,00 €
48;A familias e instituciones sin fines de lucro – Cámaras Oficiales mineras;23.09;0,01;10,00 €
7;TRANSFERENCIAS DE CAPITAL;23.09;9.121,51;9.121.510,00 €
75;A Comunidades Autónomas – calidad, seguridad y rehabilitación minera;23.09;6.621,51;6.621.510,00 €
77;A empresas privadas – productividad y seguridad minera;23.09;2.000,00;2.000.000,00 €
78;A familias e instituciones sin fines de lucro – seguridad minera;23.09;500;500.000,00 €
—;TOTAL PROGRAMA 423N – Explotación Minera;—;14.409,04;14.409.040,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ; ;;;
;;TOTAL Explotación minera;;14.409,04
