Clasificación Económica;Explicación Económica;Orgánica;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;23.03;2.210,50;2.210.500,00 €
10;Altos cargos;23.03;151,45;151.450,00 €
11;Personal eventual;23.03;251,09;251.090,00 €
12;Funcionarios;23.03;1.504,78;1.504.780,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;23.03;303,18;303.180,00 €
4;TRANSFERENCIAS CORRIENTES;23.03;286.451,44;286.451.440,00 €
44;A entidades del Sector Público Estatal – IDAE;23.03;27.500,00;27.500.000,00 €
45;A Comunidades Autónomas – Bono social térmico;23.03;255.000,00;255.000.000,00 €
48;A familias e instituciones sin fines de lucro – Bono social térmico;23.03;3.951,44;3.951.440,00 €
6;INVERSIONES REALES;23.03;16.086,93;16.086.930,00 €
7;TRANSFERENCIAS DE CAPITAL;23.03;34.266,00;34.266.000,00 €
74;A entidades del Sector Público Estatal – IDAE innovación energética;23.03;32.266,00;32.266.000,00 €
76;A Entidades Locales – Plan Gomera;23.03;2.000,00;2.000.000,00 €
8;ACTIVOS FINANCIEROS;23.03;471.220,64;471.220.640,00
82;Préstamos al Sector Público – IDAE eficiencia energética;23.03;471.220,64;471.220.640,00 €
—;Subtotal Secretaría de Estado de Energía;—;810.235,51;810.235.510,00 €
1;GASTOS DE PERSONAL;23.09;4.194,86;4.194.860,00
10;Altos cargos;23.09;61,04;61.040,00 €
12;Funcionarios;23.09;3.583,01;3.583.010,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;23.09;550,81;550.810,00
6;INVERSIONES REALES;23.09;11.536,05;11.536.050,00
—;Subtotal Dirección General de Política Energética y Minas;—;15.730,91;15.730.910,00
—;TOTAL PROGRAMA 425A – Normativa y desarrollo energético;—;825.966,42;825.966.420,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
