Orgánica;Económica;Explicación;Total (miles €);Total (€)
23.11;1;Gastos de personal;6.552,93;6.552.930
;4;Transferencias corrientes;15.197,42;15.197.420
;6;Inversiones reales;142.667,20;142.667.200
;7;Transferencias de capital;23.649,18;23.649.180
;8;Activos financieros;22.000,00;22.000.000
;;Total Dirección General de Biodiversidad, Bosques y Desertificación;210.066,73;210.066.730
23.12;7;Transferencias de capital;14.670,69;14.670.690
;;Total Dirección General de Servicios;14.670,69;14.670.690
23.101;1;Gastos de personal;9.366,42;9.366.420
;2;Gastos corrientes en bienes y servicios;13.473,79;13.473.790
;3;Gastos financieros;15,5;15.500
;4;Transferencias corrientes;1.055,52;1.055.520
;6;Inversiones reales;31.616,96;31.616.960,00
;7;Transferencias de capital;4.772,41;4.772.410
;8;Activos financieros;15;15.000,00
;;Total Parques Nacionales;60.315,60;60.315.600
;;TOTAL PROGRAMA 456C;285.053,02;285.053.020,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
