Económica;Explicación;23.112 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;2.353,49;2.353,49;2.353.490
10;Altos cargos;61,04;61,04;61.040
12;Funcionarios;1.134,52;1.134,52;1.134.520
13;Laborales;544,51;544,51;544.510
15;Incentivos al rendimiento;169,54;169,54;169.540
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;443,88;443,88;443.880
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.073,14;8.073,14;8.073.140
20;Arrendamientos y cánones;13,23;13,23;13.230
21;Reparaciones, mantenimiento y conservación;235,5;235,5;235.500
22;Material, suministros y otros;7.595;7.594,98;7.594.980
23;Indemnizaciones por razón del servicio;225,93;225,93;225.930,00
24;Gastos de publicaciones;3,5;3,5;3.500
3;GASTOS FINANCIEROS;929,44;929,44;929.440,00
35;Intereses de demora y otros gastos financieros;929,44;929,44;929.440
4;TRANSFERENCIAS CORRIENTES;151.990,78;151.990,78;151.990.780
44;A entidades públicas;11.700,00;11.700,00;11.700.000
46;A Entidades Locales;3.290,78;3.290,78;3.290.780,00
47;A empresas privadas;135.000,00;135.000,00;135.000.000
48;A familias e instituciones sin fines de lucro;2.000,00;2.000,00;2.000.000
6;INVERSIONES REALES;6.350,00;6.350,00;6.350.000,00
62;Nuevas para funcionamiento operativo;2.150,00;2.150,00;2.150.000
63;Reposición para funcionamiento operativo;1.000,00;1.000,00;1.000.000
64;Inversiones de carácter inmaterial;3.200,00;3.200,00;3.200.000
7;TRANSFERENCIAS DE CAPITAL;162.426,33;162.426,33;162.426.330
74;A entidades públicas;1.100,00;1.100,00;1.100.000,00
75;A Comunidades Autónomas;95.000,00;95.000,00;95.000.000,00
76;A Entidades Locales;500,00;500;500.000,00
77;A empresas privadas;65.826,33;65.826,33;65.826.330,00
8;ACTIVOS FINANCIEROS;10,00;10;10.000,00
83;Préstamos fuera del sector público;10,00;10;10.000,00
TOTAL PROGRAMA 456N;—;—;332.133,18;332.133.180,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
