;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 423N Explotación minera;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.09;;Total;
1;GASTOS DE PERSONAL;707,52;;707,52;
12; Funcionarios;661,65;;661,65;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;45,87;;45,87;
4;TRANSFERENCIAS CORRIENTES;4.580,01;;4.580,01;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;4.580,00;;4.580,00;
48; A familias e instituciones sin fines de lucro;0,01;;0,01;
7;TRANSFERENCIAS DE CAPITAL;9.121,51;;9.121,51;
75; A Comunidades Autónomas;6.621,51;;6.621,51;
77; A empresas privadas;2.000,00;;2.000,00;
78; A familias e instituciones sin fines de lucro;500,00;;500,00;
;TOTAL;14.409,04;;14.409,04;
;;



