Orgánica;Económica;Explicación;Total (mil €);Total (€)
23.112;1;GASTOS DE PERSONAL;2.353,49;2.353.490
15;Incentivos al rendimiento;169,54;169,54;169.540
150;Productividad;165,54;165,54;165.540
151;Gratificaciones;4;4;4.000
16000;Seguridad Social;413,57;413.570;413.570
16200;Formación y perfeccionamiento;8,89;8,89;8.890
16201;Economatos y comedores;2,03;2,03;2.030
16204;Acción social;4,63;4,63;4.630
23.112;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.073,14;8.073.140
22.109;Labores FNMT;0,95;0,95;950
22502;Locales;20;20;20.000
22601;Atenciones protocolarias;2,05;2,05;2.050
23.112;3;GASTOS FINANCIEROS;929,44;929.440
352;Intereses de demora;928,94;928,94;928.940
359;Otros gastos financieros;0,5;0,5;500
23.112;4;TRANSFERENCIAS CORRIENTES;151.990,78;151.990.780
44;A entidades públicas;11.700,00;11.700,00;11.700.000
442;Fundación Ciudad de la Energía – CIUDEN;8.000,00;8.000,00;8.000.000
444;Cierre de explotaciones públicas;3.700,00;3.700,00;3.700.000
46;A Entidades Locales;3.290,78;3.290,78;3.290.780
47;A empresas privadas;135.000,00;135.000,00;135.000.000
48;A familias e instituciones sin fines de lucro;2.000,00;2.000,00;2.000.000
23.112;6;INVERSIONES REALES;6.350,00;6.350.000
23.112;7;TRANSFERENCIAS DE CAPITAL;162.426,33;162.426.330
74;A entidades públicas;1.100,00;1.100,00;1.100.000
742;Fundación CIUDEN;1.000,00;1.000,00;1.000.000
743;FEMP – apoyo a municipios;100;100;100.000
75;A Comunidades Autónomas;95.000,00;95.000,00;95.000.000
76;A Entidades Locales;500;500;500.000
77;A empresas privadas;65.826,33;65.826,33;65.826.330
771;Proyectos generadores de empleo;48.826,33;48.826,33;48.826.330
772;Pequeños proyectos generadores de empleo;17.000,00;17.000,00;17.000.000
23.112;8;ACTIVOS FINANCIEROS;10;10.000
83;Préstamos fuera del sector público;10;10;
TOTAL PROGRAMA 456N;—;—;332.133,18;332.133.180,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
