Orgánica;Económica;Explicación;Total (miles €);Total (€)
23.04 – SECRETARÍA DE ESTADO DE MEDIO AMBIENTE;;;;
1;GASTOS DE PERSONAL;;1.174,48;1.174.480,00
10;Altos cargos;80,3;80,3;80.300,00
11;Personal eventual;251,09;251,09;251.090,00
12;Funcionarios;727,82;727,82;727.820,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;115,27;115,27;115.270,00
16000;Seguridad Social;115,27;115,27;115.270,00
4;TRANSFERENCIAS CORRIENTES;;8.500,00;8.500.000,00
45;A Comunidades Autónomas;8.500,00;8.500,00;8.500.000,00
450;Subvención a la C.A. de Canarias para funcionamiento de plantas potabilizadoras;8.500,00;8.500,00;8.500.000,00
TOTAL SECRETARÍA DE ESTADO DE MEDIO AMBIENTE;;;9.674,48;9.674.480,00
23.05 – DIRECCIÓN GENERAL DEL AGUA;;;;
8;ACTIVOS FINANCIEROS;;386.820,49;386.820.490,00
85;Adquisición de acciones y participaciones del Sector Público;386.820,49;386.820,49;386.820.490,00
851;Sociedades estatales de agua;386.820,49;386.820,49;386.820.490,00
85101;Aguas de las Cuencas de España, S.A. (ACUAES);52.552,49;52.552,49;52.552.490,00
85102;Aguas de las Cuencas Mediterráneas, S.A. (ACUAMED);334.268,00;334.268,00;334.268.000,00
TOTAL DIRECCIÓN GENERAL DEL AGUA;;;386.820,49;386.820.490,00
TOTAL PROGRAMA 452M;;;396.494,97;396.494.970,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
